YEAR,ROOKERY,SPP,COLONY,CAMERA,NEST,DATE,COPULATION,LAY,MAXE,HATCH,MAXC,CRECHE
2016-17,CS,2,23,23-1,4,1/4/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/5/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/6/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/7/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/8/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/9/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/10/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/11/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/12/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/13/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/14/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/15/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/16/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/17/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/18/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/19/2017,NA,NA,NA,NA,2,NA
2016-17,CS,2,23,23-1,4,1/20/2017,NA,NA,NA,NA,NA,2
2016-17,CS,2,23,23-1,5,11/17/2016,NA,NA,0,NA,NA,NA
2016-17,CS,2,23,23-1,5,11/18/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,5,12/2/2016,NA,NA,NA,NA,NA,NA
2016-17,CS,2,23,23-1,5,12/17/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,5,12/22/2016,NA,NA,1,NA,NA,NA
2016-17,CS,2,23,23-1,5,12/23/2016,NA,NA,2,NA,NA,NA
2016-17,CS,2,23,23-1,5,12/27/2016,NA,NA,NA,NA,1,NA
